"ASX code","Company name","Listing date","GICs industry group","Market Cap"
"AFP","AFT PHARMACEUTICALS LIMITED","2015-12-22","Pharmaceuticals, Biotechnology & Life Sciences",436602466
"AFR","AFRICAN ENERGY RESOURCES LIMITED","2007-04-18","Energy",14328094
"AFW","APPLYFLOW LIMITED","2010-11-30","Media & Entertainment",10871122
"AGC","AUSTRALIAN GOLD AND COPPER LTD","2021-01-20","Materials",13000000
"AGD","AUSTRAL GOLD LIMITED","1997-04-18","Materials",96408000
"AGE","ALLIGATOR ENERGY LIMITED","2011-02-03","Energy",89987013
"AGG","ANGLOGOLD ASHANTI LIMITED","1999-11-16","Materials",9764270357
"AGH","ALTHEA GROUP HOLDINGS LIMITED","2018-09-21","Pharmaceuticals, Biotechnology & Life Sciences",86583268
"AGI","AINSWORTH GAME TECHNOLOGY LIMITED","2001-12-17","Consumer Services",336793929
"AGJ","AGRICULTURAL LAND TRUST","2003-04-10","Real Estate","N/A"
"AGL","AGL ENERGY LIMITED.","2006-10-12","Utilities",5694528850
"AGN","ARGENICA THERAPEUTICS LIMITED","2021-06-11","Pharmaceuticals, Biotechnology & Life Sciences",14634450
"AGR","AGUIA RESOURCES LIMITED","2008-02-13","Materials",20266034
"AGS","ALLIANCE RESOURCES LIMITED","1994-10-19","Materials",30162484
"AGY","ARGOSY MINERALS LIMITED","1997-04-03","Materials",125027170
"AHC","AUSTCO HEALTHCARE LIMITED","2004-09-24","Health Care Equipment & Services",34102674
"AHF","AUSTRALIAN DAIRY NUTRITIONALS GROUP","2006-06-30","Food, Beverage & Tobacco",24081521
"AHI","ADVANCED HUMAN IMAGING LTD","2015-08-17","Software & Services",179998550
"AHK","ARK MINES LIMITED","2011-05-09","Materials","N/A"
"AHN","ATHENA RESOURCES LIMITED","2006-11-22","Materials","N/A"
"AHQ","ALLEGIANCE COAL LIMITED","2012-05-29","Materials",189058971
"AHX","APIAM ANIMAL HEALTH LIMITED","2015-12-15","Health Care Equipment & Services",125452722
"AHY","ASALEO CARE LIMITED","2014-06-27","Household & Personal Products","N/A"
"AIA","AUCKLAND INTERNATIONAL AIRPORT LIMITED","1999-02-22","Transportation",10160602845
"AIB","AURORA GLOBAL INCOME TRUST","2007-12-24","Not Applic",696679
"AIM","ACCESS INNOVATION HOLDINGS LIMITED","2020-09-15","Commercial & Professional Services",167536154
"AIQ","ALTERNATIVE INVESTMENT TRUST","2005-05-08","Not Applic",33611706
"AIR","ASTIVITA LIMITED","2009-12-16","Capital Goods",22376389
"AIS","AERIS RESOURCES LIMITED","2011-02-02","Materials",419397024
"AIV","ACTIVEX LIMITED","2006-04-11","Materials",30112555
"AIY","AUTHORISED INVESTMENT FUND LIMITED","1999-03-19","Not Applic","N/A"
"AIZ","AIR NEW ZEALAND LIMITED","1997-10-01","Transportation",1644966794
"AJJ","ASIAN AMERICAN MEDICAL GROUP LIMITED","2007-03-19","Health Care Equipment & Services",11823594
"AJL","AJ LUCAS GROUP LIMITED","1999-08-10","Capital Goods",32299739
"AJM","ALTURA MINING LIMITED","2001-01-08","Materials","N/A"
"AJQ","ARMOUR ENERGY LIMITED","2012-04-26","Energy",36715587
"AJX","ALEXIUM INTERNATIONAL GROUP LIMITED","1999-12-22","Materials",30729468
"AJY","ASAPLUS RESOURCES LIMITED","2012-11-16","Materials",8160000
"AKG","ACADEMIES AUSTRALASIA GROUP LIMITED","1977-06-01","Consumer Services",33817834
"AKL","AUCKLAND REAL ESTATE TRUST","2005-09-23","Real Estate",61863456
"AKM","ASPIRE MINING LIMITED","2007-02-06","Materials",38580411
"AKN",,"2007-10-29","Materials",
"AKO","AKORA RESOURCES LIMITED","2020-12-15","Materials",14648813
"AKP","AUDIO PIXELS HOLDINGS LIMITED","2004-12-24","Consumer Durables & Apparel",746165238
"AL3","AML3D LIMITED","2020-04-20","Capital Goods",27825551
"AL8","ALDERAN RESOURCES LIMITED","2017-06-09","Materials",13705290
"ALB","ALBION RESOURCES LIMITED","2021-04-30","Materials",8800000
"ALC","ALCIDION GROUP LIMITED","2011-06-24","Health Care Equipment & Services",450669692
"ALD","AMPOL LIMITED","1980-12-31","Energy",6894079724
"ALG","ARDENT LEISURE GROUP LIMITED","2018-11-30","Consumer Services",458119245
"ALI","ARGO GLOBAL LISTED INFRASTRUCTURE LIMITED","2015-07-03","Not Applic",326759803
"ALK","ALKANE RESOURCES LIMITED","1980-10-07","Materials",604319632
"ALL","ARISTOCRAT LEISURE LIMITED","1996-07-09","Consumer Services",26927406806
"ALQ","ALS LIMITED","1952-07-18","Commercial & Professional Services",5986903793
"ALT","ANALYTICA LIMITED","2000-10-25","Health Care Equipment & Services",9227602
"ALU","ALTIUM LIMITED","1999-08-04","Software & Services",4762271160
"ALX","ATLAS ARTERIA","2010-01-25","Transportation",5993863913
"ALY","ALCHEMY RESOURCES LIMITED","2007-11-26","Materials",8739165
"AM7","ARCADIA MINERALS LIMITED",,"Materials",0
"AMA","AMA GROUP LIMITED","2006-08-31","Commercial & Professional Services",419831046
"AMC","AMCOR PLC","1969-08-28","Materials",23351694443
"AMD","ARROW MINERALS LTD","2005-10-28","Materials",9992863
"AME","ALTO METALS LIMITED","2012-12-20","Materials",39397727
"AMH","AMCIL LIMITED","2000-02-10","Not Applic",352516178
"AMI","AURELIA METALS LIMITED","2007-05-08","Materials",450680054
"AML","AEON METALS LIMITED.","2007-06-14","Materials",50140160
